"DayOfWeek";"Date";"Time";"Number";"LineNumber";"Delay";"Station";"Direction";"Shift";"Driver";"Latitude";"Longitude";"Orientation"
Wednesday;10.04.2019;21:20:53;201;9;00:00:40;"Jižní Svahy,Středová";"Jižní Svahy,Středová";"2/9";1953;49.236900;17.673360;270
Wednesday;10.04.2019;21:20:53;202;4;00:00:20;"Na Vyhlídce";"Vršava";"2/4";2171;49.220740;17.658060;45
Wednesday;10.04.2019;21:20:53;210;9;00:00:21;"Příční";"Jižní Svahy,Středová";"1/9";2020;49.225560;17.692050;0
Wednesday;10.04.2019;21:20:53;211;4;00:00:02;"Vršava";"Podhoří";"3/4";2193;49.242020;17.688880;157
Wednesday;10.04.2019;21:20:53;217;14;00:00:25;"Slunečná";"Jižní Svahy,Středová";"2/10";1790;49.235320;17.669920;90
Wednesday;10.04.2019;21:20:53;220;8;00:00:29;"Křiby";"Jižní Svahy,Kocanda";"2/11";2151;49.240070;17.667710;22
Wednesday;10.04.2019;21:20:53;221;13;00:00:18;"Sportovní hala";"Lesní čtvrť";"1/3";2185;49.220070;17.659100;337
Wednesday;10.04.2019;21:20:53;226;11;00:00:23;"Pančava";"Sportovní hala";"3/11";1406;49.221510;17.702460;292
Wednesday;10.04.2019;21:20:53;271;11;00:00:47;"Sportovní hala";"Průmysl. zóna,točna";"1/11";1258;49.220050;17.658940;0
Wednesday;10.04.2019;21:20:53;400;1;00:00:04;"Šrámkova";"Baťova nemocnice";"4/6";2125;49.213280;17.616890;45
Wednesday;10.04.2019;21:20:53;404;8;00:00:06;"Česká";"Baťova nemocnice";"4/8";1066;49.240370;17.667850;202
Wednesday;10.04.2019;21:20:53;408;2;00:02:10;"Náměstí Práce";"Otrokovice, žel.st.";"2/2";1304;49.223780;17.661510;225
Wednesday;10.04.2019;21:20:53;410;6;00:02:47;"Otrokovice, žel.st.";"Jižní Svahy,Kocanda";"5/6";1058;49.202100;17.532120;202
Wednesday;10.04.2019;21:20:53;411;8;00:00:02;"Čepkov";"Jižní Svahy,Kocanda";"1/8";1797;49.225500;17.661880;157
Wednesday;10.04.2019;21:20:53;412;2;00:00:24;"Bartošova čtvrť";"Otrokovice, žel.st.";"4/2";2156;49.224980;17.707040;135
Wednesday;10.04.2019;21:20:53;452;6;00:02:41;"Prštné";"Jižní Svahy,Kocanda";"3/6";2050;49.220500;17.645470;67
Wednesday;10.04.2019;21:20:53;454;2;00:00:58;"Malenovice,obchodní zóna";"Bartošova čtvrť";"3/2";2178;49.204840;17.566750;67
Wednesday;10.04.2019;21:20:53;455;2;00:00:42;"Malenovice,obchodní zóna";"Otrokovice, žel.st.";"5/2";1052;49.203130;17.557050;247
Wednesday;10.04.2019;21:20:53;459;10;00:00:09;"Louky,průmysl.zóna";"Malenovice,Centro";"1/6";1670;49.214380;17.619020;225
Wednesday;10.04.2019;21:20:53;460;6;00:00:00;"Jižní Svahy,Kocanda";"Otrokovice, žel.st.";"2/6";2030;49.242300;17.674850;337
Wednesday;10.04.2019;21:20:53;652;33;00:00:15;"Dlouhá";"Paseky";"2/33";2100;49.225610;17.665260;247
Wednesday;10.04.2019;21:20:53;669;31;00:01:32;"Jaroslavice";"Jaroslavice,točna";"2/32";1280;49.212050;17.700190;112
Wednesday;10.04.2019;21:20:53;677;55;00:00:22;"Otrokovice, žel.st.";"U Dřevnice";"2/55";1975;49.202040;17.532260;202
Wednesday;10.04.2019;21:20:53;678;33;00:00:41;"Na Drahách";"Bartoš.čt.,Zdrav.škola";"1/33";2062;49.240300;17.652740;157
Wednesday;10.04.2019;21:20:53;679;36;00:02:02;"Kostelec,U Pomníku";"Sportovní hala";"2/31";1087;49.258740;17.701980;180
Wednesday;10.04.2019;21:20:53;680;55;00:00:00;"Hurdisky";"Kvítkovice,náves";"11/55";2058;49.209710;17.522030;157
Wednesday;10.04.2019;21:20:53;684;31;00:00:06;"Náměstí Práce";"Film.ateliéry,točna";"1/32";2142;49.202260;17.660160;225
