Registrace,Věk,Id,Evidenční číslo,Jednotka,Typ jednotky,Typ členství,Rok vstupu
2020,16,2ADD97F0A8E21F792C3DD9751584B0B1,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2012
2020,18,7093CDD06A9C8C819002A0C83F931DAA,724.06.052-1,Světlušky,Oddíl,Řádné,2010
2020,5,FDED172C2F062A44B1B94230967A5ED6,724.06.051-2.3,Středa-Stonožky,Družina,Řádné,2019
2020,9,73AF3D0EA85E8C4BA21194ADF0CEB4AD,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2014
2020,7,82F1F55408EDA261DA7E6ED5408814BD,724.06.052-1,Světlušky,Oddíl,Řádné,2016
2020,14,E4BC7591C0A2597852E189F8D9014E45,724.06.052-5,Medvědice,Oddíl,Řádné,2012
2020,17,54570A2CBCB7FE9D689D8B2C08B8FC63,724.06.052-1,Světlušky,Oddíl,Řádné,2012
2020,34,9A9BC5814CEBD26F61035A7E0A3B4A54,724.06.052-8,60. Klub kmene dospělých skautů,Oddíl,Řádné,2018
2020,10,AA2F4E7FBE183144F1C71C3FDA00B316,724.06.052-1,Světlušky,Oddíl,Řádné,2018
2020,34,10EDDF81BACB2EA1E3FF08A57F0E8487,724.06.051-2,Slůňata,Oddíl,Řádné,2019
2020,4,28202262C9E3C704BEB92223AD689B51,724.06.051-2.3,Středa-Stonožky,Družina,Řádné,2019
2020,6,51DC6D00D0FC9518D134C3478B8E920A,724.06.051-2.3,Středa-Stonožky,Družina,Řádné,2019
2020,7,5D0602E248EDA5A618DBBBAA60AE2D7E,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,0
2020,12,26E911628F6C0352B8D8565C25FD83C0,724.06.051-4,Ontario,Oddíl,Řádné,2015
2020,17,BB5004E2916583550889A7CD77D8A034,724.06.051-6,Albion,Oddíl,Řádné,2008
2020,14,9B9D81AE78D8D2BB50D8F6AE1C637607,724.06.052-5,Medvědice,Oddíl,Řádné,2012
2020,6,FCF208AEEF71BCA1A76EE8B6BC3081F2,724.06.051-2.1,Čtvrtek-Čtvrtky,Družina,Řádné,2018
2020,5,DAAA6A10D317E8F8CEF9086E495874CA,724.06.051-2.1,Čtvrtek-Čtvrtky,Družina,Řádné,2019
2020,10,369D481CBF2C2A9CE840C854B482CDAB,724.06.052-1,Světlušky,Oddíl,Řádné,2014
2020,9,D89CB3CA370337F5F9D4864D3C7ABF84,724.06.052-1,Světlušky,Oddíl,Řádné,2014
2020,15,727F25A737C1F19D2A08748E523E9BA4,724.06.051-6,Albion,Oddíl,Řádné,2012
2020,17,70FB7215D977CFDAD0A89D39A6351485,724.06.051-6,Albion,Oddíl,Řádné,2009
2020,8,3DCE64FD88B9E35E931C187FB930AB48,724.06.052-1,Světlušky,Oddíl,Řádné,2016
2020,7,95C051C55015A2255F76456462A94837,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,0
2020,11,1A097AC2379A5DAC9DBC107D1D5AED7F,724.06.051-4,Ontario,Oddíl,Řádné,2018
2020,10,20BE086CE60ACC74BF5D0AFC4C8789BE,724.06.051-3,51. oddíl Vlčata,Oddíl,Řádné,2015
2020,7,E6802ACC312F55E073210341A7C41892,724.06.052-1,Světlušky,Oddíl,Řádné,2017
2020,14,C814C74E649E2B1E0AD817496D3F562A,724.06.051-6,Albion,Oddíl,Řádné,2011
2020,6,911F2999F8F984B9459A3082ED7F55C4,724.06.051-2.1,Čtvrtek-Čtvrtky,Družina,Řádné,0
2020,9,2B1D9267297330ABF7FBAFC9132BBD97,724.06.052-1,Světlušky,Oddíl,Řádné,2018
